Question ,Answer 1,Answer 2,Answer 3,Answer 4,Answer 5,Answer 6,Answer 7
This post is:,relevant,irrelevant,,,,,
Total relationship duration,0-1 year,1-3 years,3+ years (long),unclear from the post,,,
Current relationship status,seprerated/divorced,boyfriend/girlfriend (dating),partners/married,non commited relationship,affair,friends,unclear from the post
Age of female,,,,,,,
Age of male,,,,,,,
How would you rate the risk level of the woman's relationship based on the information provided in the post?,low,medium,high,,,,
Does she mention avoiding social events or outings with friends or family because of him or maybe making excuses for not going out?,no,yes,,,,,
"Does she frequently feel anxious in her interactions with him, as if she needs to be careful with her words and actions?",no,yes,,,,,
Does he frequently make her feel guilty?,no,yes,,,,,
Does he frequently express dissatisfaction with her?,no,yes,,,,,
Does he try to manipulate her?,no,yes,,,,,
Does she feel she doesn't have option to leave him?,no,yes,,,,,
"Has she mentioned feeling like she has to dress, appear or act a certain way to please him?",no,yes,,,,,
Does he exhibit a tendency for angry outbursts?,no,yes,,,,,
Does she ever feel unsafe or threatened by him? Or does it seem evident from the post that he threatened/stalked/harassed her?,no,yes,,,,,
Does she mention that he was physically violent to her?,no,yes,,,,,
Does she mention that he was physically violent towards objects/animals related to her?,no,yes,,,,,
Does she describe verbal violence from her partner? (e.g. name calling/humilation),no,yes,,,,,
