Question ,Answer 1,Answer 2,Answer 3,Answer 4
This post is:,relevant,irrelevant,,
"Which type of relationship is being described in the post? [exes/divorced, long(married) , short(boy/girl friends), unclear]",sperated/divorced/exes,short (dating),long (partners/married),unclear from the post
What is the age of the female?,,,,
What is the age of the male?,,,,
How would you rate the risk level of the woman's relationship based on the information provided in the post?,low,medium,high,
Does she mention avoiding social events or outings with friends or family because of him or maybe making excuses for not going out?,no,yes,,
Does she feel like she has to walk on eggshells around him?,no,yes,,
Does she feel anxious or afraid before/while meeting or talking to him?,no,yes,,
"Does she ever find herself doubting her judgment, memory, decisions, or abilities and has to get his approval before making decisions?",no,yes,,
Does he frequently make her feel guilty?,no,yes,,
Does he frequently express dissatisfaction with her?,no,yes,,
Has she ever taken the blame for things that have nothing to do with her due to his behavior?,no,yes,,
Does he present himself differently in public compared to private?,no,yes,,
"Has she mentioned feeling like she has to dress, appear or act a certain way to please him based on the post?",no,yes,,
Does he exhibit a tendency for angry outbursts?,no,yes,,
Does she ever feel unsafe or threatened by him? Or it’s clear from the post that he threatened/stocked/harassed her?,no,yes,,
Does she describe physical violence from her partner?,no,yes,,
Does she describe verbal violence from her partner?,no,yes,,
